"code","rvb_fond","nom","poly"
"cg","175-151-151","Congo","219,332,223,336,224,338,229,334,233,337,235,337,238,334,241,334,242,337,244,337,253,329,254,321,256,316,258,314,260,311,266,306,266,300,267,292,268,287,272,280,272,277,266,277,261,276,255,282,255,289,252,290,249,288,246,288,234,287,233,291,239,290,242,293,242,297,240,300,240,304,241,317,240,320,236,321,234,319,230,319,228,318,226,320,222,323,222,329,219,330"
"mr","25-255-50","Mauritanie","44,189,46,187,47,183,51,182,54,186,56,186,58,184,92,184,93,180,90,178,90,169,87,141,87,139,85,122,85,119,84,110,93,109,92,107,85,103,83,101,76,97,74,95,71,94,71,101,47,102,47,122,44,124,41,124,38,126,38,139,8,140,9,142,13,145,14,152,13,156,15,159,15,167,12,174,12,176,19,176,27,175,31,179,34,179,37,184,42,189"
"sd","151-151-25","Soudan","377,274,385,273,392,267,402,267,402,264,397,261,394,256,394,254,392,252,389,250,386,246,384,246,381,244,381,242,383,239,386,239,389,237,389,224,391,222,392,220,395,219,395,216,398,211,400,209,405,203,405,200,406,189,409,179,409,177,410,173,413,172,415,170,420,168,421,165,414,160,412,157,412,142,410,140,409,135,404,130,401,128,399,128,396,129,395,132,392,133,390,135,389,137,384,137,322,136,322,150,315,151,315,183,313,185,307,185,307,187,303,192,300,205,303,207,303,211,307,218,307,221,311,226,312,233,311,235,314,236,317,239,320,239,324,242,324,245,331,250,333,252,333,254,334,256,339,259,342,264,344,266,345,268,354,268,357,267,360,270,365,274,373,273"
"bi","255-150-75","Burundi","361,331,364,326,364,324,362,323,362,321,360,321,359,323,355,324,355,329,354,335,359,333"
"zm","75-151-151","Zambie","335,437,340,430,342,428,345,426,348,426,348,422,355,419,359,419,359,415,362,413,364,413,371,410,373,410,378,408,380,399,383,395,383,384,385,382,385,380,378,372,376,372,373,371,370,368,368,368,366,369,361,365,359,365,354,366,352,369,352,381,350,388,350,391,352,393,357,393,358,401,351,402,345,397,344,395,342,395,338,392,329,392,324,389,323,387,317,387,316,385,315,399,300,400,300,426,302,429,308,434,320,433,323,436,326,436"
"gm","75-50-255","Gambie","15,202,22,200,20,199,18,201,11,201"
"dz","255-25-75","Algérie","149,147,151,147,153,149,155,149,158,150,159,157,161,157,171,154,173,154,178,152,181,149,194,139,201,135,203,133,212,128,215,125,218,124,220,122,220,120,216,115,210,114,208,112,208,110,207,107,205,105,203,102,203,99,206,96,206,81,205,74,203,72,202,66,203,60,202,54,201,51,196,48,195,44,192,41,190,40,189,32,191,30,195,27,195,25,196,7,191,7,188,6,185,7,182,6,179,8,177,8,173,9,170,7,164,7,158,8,155,10,147,10,138,14,135,17,131,17,125,22,122,23,122,29,123,39,124,42,127,45,126,49,114,50,112,53,110,53,107,54,107,57,108,60,99,64,94,69,90,69,86,70,85,72,81,72,79,74,77,74,71,79,71,91,78,95,80,97,87,101,90,104,97,108,99,110,106,114,109,117,116,121,118,123,143,140,144,143"
"dj","255-250-25","Djibouti","456,217,454,216,454,214,457,212,457,209,455,208,451,212,451,214,449,217,449,220,452,220,455,219"
"lr","125-150-255","Libéria","78,260,75,258,74,256,71,255,70,252,71,249,69,248,66,249,63,247,63,242,62,240,58,240,55,245,52,248,50,249,53,254,56,255,58,257,65,263,72,267,75,267,77,268,77,263"
"tg","151-151-225","Togo","144,256,146,255,146,236,142,227,139,225,139,221,136,221,135,223,138,226,138,229,139,241,140,251"
"cv","25-100-150","Cap Vert","58,349,58,346,56,345,56,348 66,335,65,335 46,328,45,328"
"tz","151-151-125","Tanzanie","432,377,432,375,428,366,428,363,429,354,425,350,425,345,428,338,426,336,419,332,417,330,417,328,416,325,413,324,411,322,406,320,404,318,399,316,397,314,394,313,392,311,390,311,390,313,387,316,387,320,385,322,383,322,379,323,376,322,374,324,372,323,371,314,372,311,365,311,365,313,366,319,365,323,366,327,361,334,356,337,354,340,354,342,355,350,357,352,360,356,363,358,364,364,365,366,367,366,369,365,371,367,374,369,376,369,385,373,388,373,389,377,392,380,392,391,394,391,403,387,405,387,407,389,416,388,418,386,427,386,434,383,436,381"
"gw","175-50-255","Guinée Bissau","23,219,23,217,25,215,30,214,30,210,31,208,20,208,14,209,13,211,16,213,20,213,21,215,20,218"
"mz","75-255-50","Mozambique","372,472,372,479,374,488,374,500,375,507,379,508,379,506,377,504,377,501,379,500,381,497,390,493,392,493,398,488,398,485,397,483,399,476,399,473,397,471,397,469,395,462,393,460,393,454,398,449,402,446,403,444,405,444,407,442,407,440,409,439,411,436,420,431,423,431,428,427,430,426,436,419,436,415,437,410,436,395,435,390,438,385,438,383,437,383,433,386,431,386,428,388,419,388,417,390,410,390,406,391,401,390,392,394,391,396,394,399,397,404,400,407,404,412,404,422,401,425,399,426,399,429,396,430,391,425,390,421,392,418,392,413,385,412,382,409,363,415,361,416,361,418,362,422,370,422,379,426,381,428,381,430,382,442,380,447,381,456,378,461,378,463,376,466,376,468"
"zw","225-151-151","Zimbabwe","349,467,352,469,356,469,361,471,367,471,370,472,373,468,379,455,379,451,378,445,380,440,380,433,379,429,377,427,373,426,370,424,362,424,359,421,355,421,352,423,350,423,350,427,346,428,344,430,340,433,337,437,336,439,326,439,324,438,327,442,330,449,333,452,336,453,339,456,343,459,343,463,344,466"
"gq","225-50-255","Guinée équatoriale","217,293,217,287,208,287,206,292"
"cd","125-255-150","République Démocratique du Congo","317,383,318,385,323,385,326,388,331,390,333,390,337,389,339,391,343,392,346,394,350,399,356,400,356,395,351,395,347,391,347,388,350,378,350,368,353,364,356,364,361,363,361,359,359,357,355,354,353,349,353,344,352,329,353,325,351,322,351,319,356,310,356,303,357,299,359,297,362,293,362,290,366,287,366,285,364,283,364,278,365,276,358,270,349,270,346,271,343,269,340,265,332,265,330,264,319,266,315,266,312,268,305,268,303,271,294,271,288,270,286,268,284,265,280,265,276,269,276,274,274,276,274,281,270,288,270,293,268,304,268,307,264,311,260,314,257,319,257,321,256,327,255,330,249,336,244,339,241,339,240,336,237,337,235,339,230,339,229,346,231,346,257,345,260,348,260,351,263,358,266,361,277,361,280,354,290,353,291,355,296,355,298,357,298,362,299,376,300,385,303,383"
"so","175-255-250","Somalie","443,281,443,309,445,312,447,312,456,301,462,295,470,288,477,285,480,282,483,278,491,271,492,268,494,266,500,259,500,257,503,250,505,248,506,243,510,239,513,234,513,230,514,226,516,225,516,215,513,214,512,216,508,217,513,214,510,217,508,217,499,219,497,219,490,220,483,223,476,223,471,226,466,226,459,219,456,221,456,224,458,226,465,234,467,234,476,238,478,238,485,241,494,241,495,243,472,266,463,266,458,269,456,271,454,271,451,272,448,275"
"td","151-151-175","Tchad","257,243,259,243,262,244,267,241,273,241,276,238,276,235,285,233,287,233,294,226,296,225,296,222,298,220,303,219,304,217,301,212,301,208,298,208,297,204,298,199,300,196,300,193,302,191,305,186,305,184,311,183,313,182,313,155,262,129,260,127,255,125,252,125,249,126,248,139,249,142,251,144,254,146,254,149,252,154,252,158,250,173,250,175,244,181,238,188,237,192,235,193,236,198,240,202,243,204,245,207,245,209,246,220,249,224,249,228,241,229,241,232,242,234,244,234,247,237,249,244,250,246,255,245"
"ly","175-150-255","Libye","317,67,319,65,319,62,318,56,319,52,315,52,306,50,305,46,298,44,294,44,290,45,286,49,284,50,284,52,283,54,285,59,282,64,279,66,273,66,270,63,263,60,260,60,255,59,252,58,248,54,247,49,238,45,235,45,224,44,220,43,220,47,217,50,210,56,210,58,211,62,208,65,205,66,204,69,207,73,207,80,208,96,205,100,209,107,209,109,210,112,214,112,219,115,222,120,238,121,245,125,247,125,252,123,256,123,313,152,313,150,320,149,320,76,318,74,318,71"
"er","255-250-125","Erythrée","451,208,454,207,453,205,450,203,447,199,445,198,441,193,439,193,437,191,435,191,433,189,433,187,431,187,428,185,426,180,426,178,424,171,423,169,416,172,415,174,422,169,413,174,411,179,411,181,408,191,408,194,411,194,413,193,415,194,416,191,419,190,422,193,424,193,430,192,436,193,438,195,442,198,443,200,448,204"
"mg","225-150-255","Madagascar","462,479,462,481,463,484,462,486,463,490,468,495,471,497,474,497,477,495,480,495,485,493,489,484,489,481,493,468,493,466,501,441,501,436,504,429,504,421,506,420,508,421,508,405,504,398,502,397,501,399,497,401,498,406,494,409,492,409,492,412,491,416,487,417,487,419,482,422,482,425,479,426,476,425,474,427,468,427,467,431,464,436,465,443,464,445,467,449,468,453,465,456,465,459,464,463,460,468,459,475"
"ma","125-250-255","Maroc","38,123,43,122,45,121,45,101,69,100,69,78,74,73,78,72,80,70,84,70,86,68,89,68,93,67,99,61,101,61,105,58,105,53,110,51,113,48,124,48,125,45,123,44,121,39,121,31,120,26,117,24,115,24,112,22,110,22,100,23,98,21,96,20,94,17,92,19,93,17,91,19,91,21,86,32,84,34,80,37,73,40,68,45,67,50,64,53,62,58,62,63,63,68,59,75,56,78,51,81,48,84,38,87,38,89,36,91,35,95,33,97,30,98,28,100,25,110,23,112,16,122,15,127,12,132,10,133,10,135,9,138,36,138,36,126"
"st","25-255-250","Sao Tomé et Principe","182,299,182,296,181,296,180,300"
"tn","25-151-151","Tunisie","214,49,218,46,218,41,214,38,210,37,207,35,207,32,209,31,213,26,215,25,216,19,213,17,212,11,215,8,211,8,210,5,204,4,198,9,198,25,197,28,195,30,191,33,191,37,192,39,196,42,197,46,202,49,204,56,204,59,205,64,208,62,208,55"
"cf","75-255-150","République Centrafricaine","288,267,292,267,295,269,302,269,305,265,307,265,311,266,316,264,322,264,331,262,339,263,336,259,333,258,331,255,331,253,328,250,322,245,322,243,319,241,316,241,313,238,311,238,309,236,309,232,310,229,305,222,301,221,298,223,298,226,290,233,287,235,284,235,278,236,278,239,274,243,267,243,265,245,256,246,253,248,250,248,244,259,244,266,249,275,253,279,255,279,259,275,266,274,271,275,274,273,274,269,278,265,279,263,285,263"
"ng","225-255-50","Nigéria","219,253,224,242,224,240,229,235,229,232,231,225,233,222,233,220,237,216,240,215,241,211,239,209,239,204,235,200,233,200,231,202,229,202,227,204,224,204,211,203,209,205,206,207,200,207,193,203,191,203,188,206,186,206,183,203,178,200,170,200,167,201,165,204,165,206,162,209,162,218,163,224,162,228,159,231,159,233,156,240,156,254,167,254,172,257,176,264,176,266,177,268,184,269,187,267,189,267,194,268,196,265,198,264,198,262,199,258,201,256,204,252,205,250,214,250,217,253"
"ne","175-255-50","Niger","165,200,170,198,178,198,183,201,185,203,188,203,191,201,194,201,198,204,200,204,205,205,209,202,224,201,226,202,233,197,234,196,233,192,235,191,235,189,238,186,245,178,248,174,248,166,249,157,250,152,252,147,250,145,248,144,246,139,246,127,243,127,240,124,222,123,220,125,213,129,211,131,204,135,202,137,195,141,193,143,180,153,177,155,175,155,168,157,166,158,166,182,162,185,161,187,144,187,143,189,137,190,136,193,139,198,143,202,146,206,150,206,151,211,153,211,153,209,155,208,159,211,160,208,163,205,163,203"
"mu","175-250-255","Maurice","557,460,557,456,556,456,555,460 594,455,593,455"
"cm","255-150-125","Cameroun","229,284,246,285,250,286,252,288,253,282,247,276,246,273,244,271,242,266,242,257,244,255,248,246,246,241,246,239,245,237,242,236,239,233,238,229,240,227,247,227,247,225,244,221,244,211,243,208,241,207,243,210,243,215,236,220,232,229,232,232,231,236,226,241,226,243,220,254,216,255,213,252,206,252,202,257,201,263,199,265,199,267,201,268,202,271,206,272,207,275,209,277,209,282,208,285,219,285"
"bj","255-25-175","Bénin","152,255,154,254,154,238,156,235,156,233,157,230,160,228,160,225,161,220,160,215,156,211,152,215,155,211,151,215,150,217,145,217,142,220,141,224,144,226,146,229,146,231,148,236,148,253,149,255"
"sc","100-255-250","Seychelles","572,342,572,340,570,340,569,342"
"ke","25-150-255","Kenya","426,334,430,335,434,328,434,326,437,321,440,319,442,316,444,315,443,312,441,310,441,281,444,278,446,275,441,272,438,272,435,273,432,276,423,277,419,276,406,269,393,269,392,272,394,279,398,282,398,290,394,295,390,302,392,304,392,307,391,309,398,312,400,314,403,315,405,317,410,319,412,321,415,322,418,325,419,329,421,331,424,332"
"sn","75-255-250","Sénégal","10,204,10,208,12,208,25,206,36,206,41,208,48,208,48,204,44,201,44,196,43,191,41,191,34,184,33,181,30,181,26,177,21,177,11,178,11,185,7,190,7,193,9,195,10,198,17,199,19,197,22,197,31,199,33,200,33,202,25,203,20,202,15,204"
"na","125-255-50","Namibie","282,470,284,468,289,468,289,442,292,440,296,440,305,438,309,438,310,440,312,440,314,438,318,437,319,435,312,435,307,436,302,438,300,438,289,439,276,438,271,434,237,434,234,431,229,431,224,432,222,434,222,436,223,440,230,450,239,469,241,471,243,482,243,488,245,493,245,498,249,515,251,517,256,523,258,523,260,521,262,521,266,524,267,527,276,527,278,525,281,524"
"gn","125-151-151","Guinée","72,245,73,242,72,239,75,238,75,235,72,231,72,227,73,225,71,223,71,220,70,217,67,215,67,212,66,210,61,212,57,212,54,213,49,212,48,210,40,210,33,208,33,214,31,216,28,216,25,218,25,221,27,223,28,226,32,229,35,233,37,233,39,231,40,228,51,227,54,230,56,235,56,238,62,238,65,241,65,246,67,247,69,245"
"ao","255-25-125","Angola (ATTENTION : cet enclave sera écrasé par la suivante => nécessite de revoir tout le système pour prendre en compte ces deux zones ! => à revoir utiliser plutôt un système à base de svg)","226,343,227,340,226,340"
"ao","255-25-125","Angola","271,432,273,434,278,436,289,436,298,437,305,435,298,427,298,399,313,398,313,385,303,385,302,387,299,387,297,370,297,363,296,357,290,357,289,355,282,355,279,362,268,363,266,364,261,359,258,352,258,349,256,347,233,347,228,349,229,352,231,354,231,356,234,363,234,366,235,368,233,371,234,376,236,378,238,381,238,387,237,394,235,396,234,398,231,399,231,401,228,404,228,406,226,415,222,424,222,431,231,429,234,429,238,432"
"ml","75-250-255","Mali","83,224,85,221,88,221,89,223,94,223,94,219,97,214,102,209,102,207,105,202,110,201,117,198,120,195,125,191,128,189,136,189,141,188,144,185,160,185,164,180,164,158,158,159,157,152,155,152,151,149,148,149,144,145,141,143,141,141,113,122,111,120,104,116,102,114,98,111,86,111,86,118,87,129,89,146,89,148,92,176,93,178,95,179,95,183,93,186,59,186,55,189,53,189,51,187,51,185,49,184,48,188,45,191,45,194,46,200,50,203,50,210,53,210,55,211,61,210,64,208,67,208,69,211,69,213,72,216,72,218,73,223,76,224,78,223"
"gh","125-50-255","Ghana","120,266,125,263,128,263,135,259,141,259,142,257,139,254,137,231,136,227,133,224,133,221,114,221,114,224,116,235,116,237,117,241,115,243,114,248,112,250,112,256,115,260,115,265,117,265"
"0","255-255-255,""0","0","0","287,577,285,579,279,579,276,576,273,574,271,574,270,568,268,566,266,563,270,558,270,556,269,552,267,550,259,533,259,531,255,524,249,519,246,514,246,510,244,503,244,500,243,493,241,488,241,479,240,474,235,465,233,463,232,459,225,446,223,444,220,439,220,423,222,420,222,418,224,413,224,411,225,406,229,399,231,397,233,396,235,393,235,388,236,382,232,377,232,374,231,370,232,363,225,348,225,346,224,342,220,335,218,333,215,331,211,326,206,322,202,317,202,315,200,312,200,310,199,308,202,305,202,301,204,296,204,294,203,292,205,289,205,286,206,281,207,278,205,276,205,274,203,274,200,272,199,270,196,269,190,270,187,269,185,271,178,271,174,267,174,265,173,262,170,259,169,257,167,257,153,256,147,257,144,258,141,261,136,261,129,265,127,265,120,268,117,268,110,265,97,265,88,267,81,271,78,271,73,269,71,269,67,266,64,265,56,257,54,257,48,251,41,248,40,246,36,243,34,240,34,234,30,231,30,229,27,228,24,223,20,220,18,219,18,215,15,215,8,210,8,204,7,202,9,200,5,193,3,193,2,191,4,189,8,186,9,177,13,164,13,159,11,157,10,154,12,152,12,148,11,146,9,145,8,143,6,142,6,140,7,135,11,130,13,125,13,123,15,121,16,118,18,116,23,109,23,107,27,98,31,95,33,94,36,87,39,84,42,84,49,81,54,76,58,73,59,70,61,68,61,65,60,56,63,51,65,49,65,46,67,44,72,38,81,34,84,31,87,26,87,24,90,17,92,15,95,15,97,17,99,20,107,21,113,20,116,22,120,22,123,21,128,16,134,15,137,12,144,9,146,9,154,8,157,6,162,6,172,5,174,7,178,6,181,4,185,4,187,5,191,4,199,5,202,2,1,2,1,580,599,580,599,2,211,2,212,6,217,4,218,8,216,11,214,12,214,14,215,16,218,18,218,23,217,26,211,31,209,34,216,36,217,39,219,39,224,42,235,42,244,46,246,46,249,49,249,51,253,56,255,56,264,58,269,60,273,64,279,64,281,62,282,56,281,51,288,44,293,42,301,42,306,44,307,48,310,48,316,49,320,50,323,54,329,53,335,54,342,57,344,57,347,59,349,59,351,60,355,57,362,54,373,54,375,56,378,58,385,58,388,56,391,58,391,60,394,67,394,69,396,74,393,84,390,88,383,82,382,78,380,77,382,82,386,86,386,89,388,91,389,96,391,101,393,103,398,114,402,118,401,125,404,128,411,134,411,137,414,141,414,156,415,159,418,160,421,163,423,164,424,167,426,169,426,171,428,180,431,185,434,185,435,188,438,189,440,191,442,191,446,195,447,197,452,201,454,204,459,208,460,212,457,215,463,220,465,223,470,224,477,220,484,221,486,219,496,218,509,215,513,212,517,213,518,224,519,226,516,227,516,230,515,235,513,237,510,242,508,244,508,247,506,249,502,258,502,260,495,267,493,272,489,276,481,283,478,287,471,290,467,294,453,307,447,314,444,318,442,319,441,321,438,323,433,334,430,337,430,339,427,346,427,349,429,351,432,355,431,363,430,365,432,368,432,370,435,377,439,380,440,385,438,390,438,408,440,413,438,416,438,420,433,425,430,429,426,432,421,433,412,438,405,447,403,447,395,455,395,459,397,461,397,463,399,470,401,472,401,478,400,488,395,494,388,496,381,500,379,502,381,504,381,511,379,518,379,520,378,523,369,532,362,545,353,554,344,564,338,569,331,571,327,571,327,573,325,574,322,573,320,575,314,574,310,573,305,574,301,573,297,576"
"0","255-255-255,""0","0","0","88,391,88,323,25,323,25,391"
"za","255-25-25","Afrique du Sud","284,577,286,575,295,575,300,571,305,571,308,572,314,571,320,572,325,571,326,569,332,569,337,567,341,563,346,559,348,558,355,549,360,544,361,541,363,539,364,536,366,534,367,531,376,522,376,519,378,512,378,510,375,510,371,514,367,513,365,511,364,507,366,502,369,499,372,500,372,487,370,478,369,475,366,473,359,473,353,472,351,474,346,476,343,479,339,482,335,487,334,489,328,494,326,499,321,501,317,501,314,499,309,499,305,503,300,509,289,510,288,504,289,500,285,496,284,524,277,529,267,529,264,526,262,523,259,525,259,527,265,540,265,542,268,546,271,553,271,555,272,559,269,563,273,570,273,572,275,572,276,574,278,574,280,577"
